PdfType: replica
Format: lhagrid1
---
1.0000e-03 1.1091e-02 2.1182e-02 3.1273e-02 4.1364e-02 5.1455e-02 6.1545e-02 7.1636e-02 8.1727e-02 9.1818e-02 1.0191e-01 1.1200e-01 1.2209e-01 1.3218e-01 1.4227e-01 1.5236e-01 1.6245e-01 1.7255e-01 1.8264e-01 1.9273e-01 2.0282e-01 2.1291e-01 2.2300e-01 2.3309e-01 2.4318e-01 2.5327e-01 2.6336e-01 2.7345e-01 2.8355e-01 2.9364e-01 3.0373e-01 3.1382e-01 3.2391e-01 3.3400e-01 3.4409e-01 3.5418e-01 3.6427e-01 3.7436e-01 3.8445e-01 3.9455e-01 4.0464e-01 4.1473e-01 4.2482e-01 4.3491e-01 4.4500e-01 4.5509e-01 4.6518e-01 4.7527e-01 4.8536e-01 4.9545e-01 5.0555e-01 5.1564e-01 5.2573e-01 5.3582e-01 5.4591e-01 5.5600e-01 5.6609e-01 5.7618e-01 5.8627e-01 5.9636e-01 6.0645e-01 6.1655e-01 6.2664e-01 6.3673e-01 6.4682e-01 6.5691e-01 6.6700e-01 6.7709e-01 6.8718e-01 6.9727e-01 7.0736e-01 7.1745e-01 7.2755e-01 7.3764e-01 7.4773e-01 7.5782e-01 7.6791e-01 7.7800e-01 7.8809e-01 7.9818e-01 8.0827e-01 8.1836e-01 8.2845e-01 8.3855e-01 8.4864e-01 8.5873e-01 8.6882e-01 8.7891e-01 8.8900e-01 8.9909e-01 9.0918e-01 9.1927e-01 9.2936e-01 9.3945e-01 9.4955e-01 9.5964e-01 9.6973e-01 9.7982e-01 9.8991e-01 1.0000e+00
1.0000e+00 1.1242e+00 1.2638e+00 1.4208e+00 1.4300e+00 1.5973e+00 1.7957e+00 2.0188e+00 2.2695e+00 2.5514e+00 2.8683e+00 3.2246e+00 3.6251e+00 4.0754e+00 4.3000e+00 4.5816e+00 5.1507e+00 5.7904e+00 6.5097e+00 7.3182e+00 8.2272e+00 9.2491e+00 1.0398e+01 1.1690e+01 1.3141e+01 1.4774e+01 1.6609e+01 1.8672e+01 2.0991e+01 2.3598e+01 2.6529e+01 2.9825e+01 3.3529e+01 3.7694e+01 4.2376e+01 4.7639e+01 5.3557e+01 6.0209e+01 6.7688e+01 7.6095e+01 8.5547e+01 9.6172e+01 1.0812e+02 1.2155e+02 1.3664e+02 1.5362e+02 1.7270e+02 1.7290e+02 1.9415e+02 2.1826e+02 2.4538e+02 2.7585e+02 3.1012e+02 3.4864e+02 3.9194e+02 4.4062e+02 4.9535e+02 5.5688e+02 6.2605e+02 7.0381e+02 7.9123e+02 8.8951e+02 1.0000e+03
950 951 967 968 969 970 971
 1.65066e+00  6.32519e-01  1.38320e+00  0.00000e+00  0.00000e+00  8.79745e-01 -2.47226e-01 
 1.53433e+00  7.90792e-01  1.32270e+00  0.00000e+00  0.00000e+00  1.06913e+00 -2.78338e-01 
 1.47870e+00  9.45986e-01  1.31124e+00  0.00000e+00  0.00000e+00  1.25322e+00 -3.07232e-01 
 1.47041e+00  1.09523e+00  1.33792e+00  0.00000e+00  0.00000e+00  1.42944e+00 -3.34214e-01 
 1.47112e+00  1.10325e+00  1.34032e+00  3.07329e-06  0.00000e+00  1.43890e+00 -3.35650e-01 
 1.49744e+00  1.23476e+00  1.39261e+00  2.51601e-06  0.00000e+00  1.59383e+00 -3.59066e-01 
 1.55301e+00  1.36737e+00  1.47007e+00  2.03045e-06  0.00000e+00  1.74996e+00 -3.82588e-01 
 1.63197e+00  1.49310e+00  1.56634e+00  1.63470e-06  0.00000e+00  1.89803e+00 -4.04937e-01 
 1.73005e+00  1.61192e+00  1.67813e+00  1.31363e-06  0.00000e+00  2.03812e+00 -4.26199e-01 
 1.84394e+00  1.72413e+00  1.80285e+00  1.05381e-06  0.00000e+00  2.17061e+00 -4.46479e-01 
 2.52802e+00  1.65970e+00  2.49551e+00  8.44173e-07  0.00000e+00  2.12555e+00 -4.65848e-01 
 2.72603e+00  1.79273e+00  2.70031e+00  6.75378e-07  0.00000e+00  2.27711e+00 -4.84378e-01 
 2.93849e+00  1.91738e+00  2.91814e+00  5.39762e-07  0.00000e+00  2.41951e+00 -5.02127e-01 
 3.16312e+00  2.03418e+00  3.14701e+00  4.30953e-07  0.00000e+00  2.55333e+00 -5.19155e-01 
 3.26955e+00  2.08519e+00  3.25508e+00  3.88604e-07  1.44648e-02  2.61192e+00 -5.26728e-01 
 3.39319e+00  2.14322e+00  3.38045e+00  3.43767e-07  1.27413e-02  2.67858e+00 -5.35361e-01 
 3.62817e+00  2.24543e+00  3.61808e+00  2.74005e-07  1.00813e-02  2.79630e+00 -5.50874e-01 
 3.87081e+00  2.34151e+00  3.86283e+00  2.18268e-07  7.97687e-03  2.90738e+00 -5.65864e-01 
 4.12008e+00  2.43183e+00  4.11377e+00  1.73761e-07  6.31143e-03  3.01219e+00 -5.80362e-01 
 4.37493e+00  2.51665e+00  4.36994e+00  1.38264e-07  4.99391e-03  3.11104e+00 -5.94390e-01 
 4.63459e+00  2.59627e+00  4.63064e+00  1.09963e-07  3.95135e-03  3.20424e+00 -6.07974e-01 
 4.96980e+00  2.62885e+00  4.96667e+00  8.74178e-08  3.12644e-03  3.24998e+00 -6.21135e-01 
 5.25682e+00  2.70310e+00  5.25435e+00  6.94663e-08  2.47372e-03  3.33700e+00 -6.33893e-01 
 5.54718e+00  2.77259e+00  5.54523e+00  5.51774e-08  1.95713e-03  3.41886e+00 -6.46272e-01 
